,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11,11,11,11,11,11,11,11
Reserves,593,645,688,796,977,1215,1525,1848,2064,2210,2478,1937,2075
Borrowings,76,174,121,14,11,10,9,14,42,23,24,27,24
Other Liabilities,241,233,267,306,430,695,589,621,537,672,744,940,960
Total Liabilities,921,1063,1088,1128,1429,1932,2135,2494,2653,2917,3257,2914,3070
Fixed Assets,290,300,418,388,349,315,285,269,287,248,291,322,336
CWIP,21,121,7,1,1,2,6,10,7,24,23,25,7
Investments,0,0,0,0,0,0,0,585,505,505,505,505,505
Other Assets,611,642,662,739,1078,1614,1844,1629,1855,2140,2439,2063,2222
Total Assets,921,1063,1088,1128,1429,1932,2135,2494,2653,2917,3257,2914,3070
