,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.04,0.02,0.01,4.74,3.5,7.78,6.0,4.63,8.28,4.19,32.59,6.92,5.83
Expenses,0.1,0.07,0.04,4.34,3.06,7.56,5.78,5.1,7.98,3.89,31.94,5.09,3.90
Operating Profit,-0.06,-0.05,-0.03,0.4,0.44,0.22,0.22,-0.47,0.3,0.3,0.65,1.83,1.93
OPM %,-150.0,-250.0,-300.0,8.44,12.57,2.83,3.67,-10.15,3.62,7.16,1.99,26.45,33.10
Other Income,0.01,0.0,0.06,-0.07,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.02,0.01,0.21,1.32,1.35
Depreciation,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.16
Profit before tax,-0.07,-0.06,0.02,0.32,0.42,0.2,0.21,-0.6,0.25,0.25,0.39,0.44,0.42
Tax %,0.0,0.0,100.0,37.5,33.33,30.0,23.81,3.33,0.0,24.0,25.64,25.0,
Net Profit,-0.06,-0.07,0.01,0.2,0.28,0.14,0.15,-0.58,0.24,0.18,0.28,0.33,0.14
EPS in Rs,-0.12,-0.14,0.02,0.0,0.01,0.0,0.0,-0.01,0.0,0.0,0.01,0.01,0.00
