,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01,2023-06-01
Equity Capital,42,42,42,42,42,42,42,42,42,42,42,42,42
Reserves,2492,2556,2635,2770,2966,3244,3565,3965,3478,3564,4003,4897,5326
Borrowings,0,328,620,371,600,600,608,7,14,58,37,33,42
Other Liabilities,3760,3544,3752,3639,3800,3844,4673,5063,4167,3926,3991,4346,4925
Total Liabilities,6295,6470,7050,6822,7409,7731,8888,9077,7701,7590,8073,9318,10335
Fixed Assets,1168,1207,1392,1400,1298,1255,1219,893,742,783,817,899,930
CWIP,74,117,47,32,44,68,116,83,59,75,77,69,74
Investments,51,52,17,16,16,16,271,0,0,0,0,493,2
Other Assets,5001,5093,5594,5374,6050,6392,7282,8101,6900,6733,7179,7857,9330
Total Assets,6295,6470,7050,6822,7409,7731,8888,9077,7701,7590,8073,9318,10335
