,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,35.93,60.26,42.97,34.88,32.62,30.33,36.95,39.37,33.99,34.81,37.0,36.21,46.13
Expenses,34.53,58.23,41.52,33.56,31.2,28.9,35.75,38.14,33.08,33.67,35.53,34.89,44.67
Operating Profit,1.4,2.03,1.45,1.32,1.42,1.43,1.2,1.23,0.91,1.14,1.47,1.32,1.46
OPM %,3.9,3.37,3.37,3.78,4.35,4.71,3.25,3.12,2.68,3.27,3.97,3.65,3.16
Other Income,0.28,0.02,0.42,0.12,0.16,1.47,-1.06,0.38,0.62,0.34,1.22,0.25,0.17
Interest,0.54,0.66,0.78,0.53,0.63,0.52,0.47,0.43,0.5,0.57,0.6,0.54,0.56
Depreciation,0.35,0.34,0.45,0.27,0.26,0.26,0.27,0.28,0.24,0.31,0.32,0.25,0.26
Profit before tax,0.79,1.05,0.64,0.64,0.69,2.12,-0.6,0.9,0.79,0.6,1.77,0.78,0.81
Tax %,0.0,0.0,68.75,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,-10.73,0.0,14.81
Net Profit,0.79,1.04,0.2,0.65,0.69,2.12,-0.72,0.9,0.79,0.6,1.96,0.77,0.69
EPS in Rs,1.46,1.92,0.37,1.2,1.27,3.91,-1.33,1.66,1.46,1.11,3.62,1.42,1.27
