,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,93.0,68.0,81.0,82.0,87.0,95.0,61.0,55.0,60.0,74.0,84.0,66.0,70
Expenses,71.0,50.0,60.0,56.0,60.0,67.0,42.0,35.0,44.0,51.0,67.0,52.0,59
Operating Profit,22.0,18.0,21.0,26.0,27.0,28.0,19.0,20.0,16.0,22.0,17.0,13.0,11
OPM %,24.0,27.0,26.0,32.0,31.0,30.0,31.0,36.0,27.0,31.0,20.0,20.0,16
Other Income,1.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,5.0,4.0,5.0,7
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,23.0,19.0,22.0,26.0,27.0,28.0,19.0,23.0,19.0,26.0,19.0,17.0,16
Tax %,33.0,32.0,33.0,34.0,35.0,35.0,25.0,30.0,20.0,24.0,24.0,23.0,
Net Profit,15.0,13.0,14.0,18.0,18.0,18.0,14.0,16.0,15.0,20.0,15.0,13.0,13
EPS in Rs,7.6,6.28,7.24,8.76,8.78,9.16,7.22,7.89,7.65,9.79,7.42,6.44,6.39
