,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,23.21,18.47,52.58,54.81,34.09,31.5,89.23,128.25,58.17,49.74,113.83,101.34,60.32
Expenses,21.74,18.82,44.1,46.98,31.81,28.18,74.95,108.84,54.11,42.94,95.58,94.31,56.88
Operating Profit,1.47,-0.35,8.48,7.83,2.28,3.32,14.28,19.41,4.06,6.8,18.25,7.03,3.44
OPM %,6.33,-1.89,16.13,14.29,6.69,10.54,16.0,15.13,6.98,13.67,16.03,6.94,5.7
Other Income,0.03,6.06,0.78,0.16,0.18,0.41,0.25,0.32,0.05,0.05,0.14,0.45,0.13
Interest,1.37,1.32,1.52,1.8,1.2,1.72,2.65,2.01,1.51,1.93,3.8,2.88,2.33
Depreciation,2.37,2.38,2.55,2.19,2.55,3.04,2.93,3.57,2.9,3.35,3.7,3.49,3.02
Profit before tax,-2.24,2.01,5.19,4.0,-1.29,-1.03,8.95,14.15,-0.3,1.57,10.89,1.11,-1.78
Tax %,-11.61,37.31,2.12,30.25,31.01,39.81,22.68,26.93,13.33,29.3,26.35,28.83,25.28
Net Profit,-2.5,1.27,5.09,2.79,-0.89,-0.62,6.92,10.34,-0.26,1.11,8.01,0.79,-1.33
EPS in Rs,-1.3,0.66,2.66,1.46,-0.46,-0.32,3.61,5.39,-0.14,0.58,4.18,0.41,-0.69
