,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,31.42,37.81,40.8,41.64,47.7,47.62,54.71,50.92,63.42,54.14,51.94,50.95,50.39
Expenses,26.73,34.96,36.78,36.7,39.98,42.3,51.69,45.54,57.43,48.94,49.74,48.58,48.46
Operating Profit,4.69,2.85,4.02,4.94,7.72,5.32,3.02,5.38,5.99,5.2,2.2,2.37,1.93
OPM %,14.93,7.54,9.85,11.86,16.18,11.17,5.52,10.57,9.44,9.6,4.24,4.65,3.83
Other Income,0.19,1.02,0.7,0.5,0.35,3.89,2.19,2.43,1.58,2.74,1.55,1.98,0.42
Interest,0.71,0.95,0.66,0.91,1.06,1.14,2.48,1.4,1.65,1.71,2.32,2.05,2.72
Depreciation,0.74,0.86,1.01,0.83,1.09,1.13,1.39,1.72,1.99,2.25,2.66,2.76,2.89
Profit before tax,3.43,2.06,3.05,3.7,5.92,6.94,1.34,4.69,3.93,3.98,-1.23,-0.46,-3.26
Tax %,34.69,43.2,51.8,20.27,31.25,29.83,5.97,30.49,38.68,72.11,130.89,34.78,16.26
Net Profit,2.25,1.17,1.48,2.96,4.06,4.86,1.27,3.26,2.4,1.11,0.37,-0.3,-2.73
EPS in Rs,2.04,0.99,1.25,2.99,3.77,4.3,1.54,3.35,2.84,2.25,0.25,0.36,-1.59
