,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.78,0.0,0.01,0.05,0.22,1.2,2.08,0.31,-0.51,0.31,0.29,0.61,0.37
Expenses,0.01,0.0,0.01,0.10,0.21,0.21,2.06,0.25,0.11,0.1,0.24,0.3,0.58
Operating Profit,0.77,0.0,0.00,-0.05,0.01,0.99,0.02,0.06,-0.62,0.21,0.05,0.31,-0.21
OPM %,98.72,,0.00,-100.00,4.55,82.5,0.96,19.35,,67.74,17.24,50.82,-56.76
Other Income,0.0,0.0,0.00,0.05,0.03,0.0,0.02,-0.38,0.24,0.0,0.0,0.0,0.00
Interest,0.0,0.0,0.00,0.00,0.0,0.01,0.0,0.0,0.00,0.0,0.0,0.0,0.00
Depreciation,0.0,0.0,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00
Profit before tax,0.77,0.0,0.00,0.00,0.04,0.98,0.04,-0.32,-0.38,0.21,0.05,0.31,-0.21
Tax %,20.78,,,,100.0,29.59,25.0,-6.25,-2.63,23.81,0.0,3.23,
Net Profit,0.61,0.0,0.00,0.00,0.0,0.69,0.03,-0.34,-0.39,0.16,0.05,0.3,-0.22
EPS in Rs,6.16,0.0,0.00,0.00,0.0,2.3,0.1,-1.13,-1.30,0.53,0.17,1.0,-0.73
