,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.15,0.23,0.01,0.36,0.56,0.35,-0.01,0.46,0.65,1.09,1.15,1.14,1.42
Expenses,0.07,0.07,-0.14,0.05,0.15,0.22,0.66,0.11,-0.07,0.05,0.17,0.13,0.16
Operating Profit,0.08,0.16,0.15,0.31,0.41,0.13,-0.67,0.35,0.72,1.04,0.98,1.01,1.26
OPM %,53.33,69.57,1500.0,86.11,73.21,37.14,,76.09,110.77,95.41,85.22,88.6,88.73
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.01,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,1.18,0.0,0.79
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,0.08,0.16,0.15,0.31,0.41,0.13,-0.67,0.35,0.72,1.04,-0.19,1.01,0.47
Tax %,25.0,25.0,-26.67,25.81,24.39,23.08,0.00,25.71,30.56,25.0,57.89,24.75,23.4
Net Profit,0.06,0.12,0.2,0.23,0.31,0.09,-0.68,0.26,0.5,0.77,-0.08,0.76,0.36
EPS in Rs,0.14,0.28,0.47,0.54,0.72,0.21,-1.59,0.61,1.17,1.8,-0.19,1.18,0.56
