,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,8.91
Reserves,4.35,5.05,6.64,7.43,7.88,8.47,8.75,9.19,9.22,9.7,9.82,19.3,26.29
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,36.14,35.91
Other Liabilities,0.13,0.14,0.15,0.2,0.23,0.15,0.02,0.12,0.63,0.25,0.53,0.89,0.9
Total Liabilities,8.76,9.47,11.07,11.91,12.39,12.9,13.06,13.59,14.13,14.23,14.63,60.61,72.01
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.07,0.05,0.04
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,5.51,5.29,6.25,6.96,7.89,8.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,3.25,4.18,4.82,4.95,4.5,4.51,13.06,13.58,14.12,14.22,14.56,60.56,71.97
Total Assets,8.76,9.47,11.07,11.91,12.39,12.9,13.06,13.59,14.13,14.23,14.63,60.61,72.01
