,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
Reserves,-0.61,-0.59,-0.53,-0.49,-0.46,-0.4,-0.33,-0.29,-0.38,-0.27,-0.16,-0.05,0.06
Borrowings,0.0,0.0,0.01,0.05,0.0,0.01,0.01,0.01,0.07,0.07,0.02,0.07,0.05
Other Liabilities,0.29,0.3,0.31,0.32,0.32,0.33,0.36,0.35,0.36,0.36,0.42,0.35,0.26
Total Liabilities,3.94,3.97,4.05,4.14,4.12,4.2,4.3,4.33,4.31,4.42,4.54,4.63,4.63
Fixed Assets,0.04,0.08,0.12,0.15,0.14,0.12,0.1,0.07,0.06,0.04,0.04,0.1,0.09
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.11,0.11,0.27,0.27,0.27,0.35,0.35,0.35,0.19,0.19,0.19,0.19,0.19
Other Assets,3.79,3.78,3.66,3.72,3.71,3.73,3.85,3.91,4.06,4.19,4.31,4.34,4.35
Total Assets,3.94,3.97,4.05,4.14,4.12,4.2,4.3,4.33,4.31,4.42,4.54,4.63,4.63
