,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.53,0.77,0.57,0.85,1.53,2.11
Expenses,1.48,0.72,0.47,0.8,1.55,1.70
Operating Profit,0.05,0.05,0.1,0.05,-0.02,0.41
OPM %,3.27,6.49,17.54,5.88,-1.31,19.43
Other Income,0.05,0.02,0.03,0.05,0.11,0.02
Interest,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.06,0.11,0.12,0.15,0.19,0.21
Profit before tax,0.04,-0.04,0.01,-0.05,-0.1,0.22
Tax %,25.0,25.0,-100.0,0.0,20.0,
Net Profit,0.03,-0.03,0.02,-0.05,-0.08,0.23
EPS in Rs,0.06,-0.06,0.04,-0.04,-0.06,0.58
