,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,9126.0,11620.0,13525.0,12579.0,13218.0,18758.0,24866.0,40844.0,38175.0,26612.0,31346.0,25438.0,22517.0
Expenses,8361.0,10848.0,12621.0,11782.0,12335.0,17986.0,23603.0,39102.0,36306.0,24983.0,27759.0,22914.0,20087.0
Operating Profit,765.0,772.0,904.0,796.0,883.0,772.0,1262.0,1742.0,1869.0,1629.0,3587.0,2524.0,2430.0
OPM %,8.0,7.0,7.0,6.0,7.0,4.0,5.0,4.0,5.0,6.0,11.0,10.0,11.0
Other Income,186.0,88.0,-16.0,152.0,379.0,206.0,276.0,222.0,266.0,339.0,1.0,371.0,461.0
Interest,304.0,323.0,436.0,443.0,754.0,708.0,622.0,915.0,934.0,596.0,1525.0,1103.0,1343.0
Depreciation,124.0,132.0,156.0,126.0,320.0,354.0,449.0,417.0,531.0,592.0,895.0,714.0,757.0
Profit before tax,524.0,404.0,296.0,380.0,189.0,-84.0,468.0,632.0,670.0,780.0,1168.0,1079.0,791.0
Tax %,24.0,29.0,29.0,48.0,35.0,-16.0,46.0,35.0,35.0,18.0,38.0,33.0,50.0
Net Profit,436.0,343.0,333.0,266.0,195.0,2.0,326.0,469.0,432.0,740.0,781.0,677.0,333.0
EPS in Rs,3.29,2.7,2.13,2.47,1.93,-0.11,2.77,4.12,4.04,7.19,6.34,5.91,2.0
