,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,612.0,749.0,986.0,977.0,1295.0,1400.0,1461.0,1635.0,1584.0,1973.0,2598.0,2162.0,2220.0
Expenses,108.0,142.0,360.0,223.0,525.0,357.0,489.0,687.0,718.0,1120.0,334.0,81.0,521.0
Operating Profit,504.0,607.0,626.0,754.0,770.0,1043.0,972.0,948.0,866.0,853.0,2264.0,2081.0,1699.0
OPM %,82.0,81.0,63.0,77.0,59.0,74.0,67.0,58.0,55.0,43.0,87.0,96.0,77.0
Other Income,106.0,94.0,83.0,182.0,115.0,71.0,111.0,66.0,100.0,216.0,265.0,178.0,353.0
Interest,484.0,545.0,476.0,524.0,613.0,813.0,667.0,458.0,498.0,617.0,1338.0,1393.0,1165.0
Depreciation,119.0,124.0,133.0,151.0,164.0,260.0,274.0,280.0,298.0,330.0,392.0,451.0,474.0
Profit before tax,7.0,31.0,100.0,261.0,108.0,41.0,142.0,276.0,170.0,122.0,799.0,415.0,413.0
Tax %,-86.0,-33.0,-4.0,16.0,7.0,-17.0,15.0,21.0,14.0,52.0,38.0,34.0,29.0
Net Profit,17.0,41.0,104.0,219.0,100.0,49.0,121.0,214.0,149.0,103.0,507.0,323.0,371.0
EPS in Rs,0.12,0.28,0.67,1.4,0.64,0.31,0.77,1.35,0.94,0.65,3.21,2.03,2.35
