,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,18,18,18,18,18,144,144,144
Reserves,924,1120,1203,1299,1687,2052,2373,2596
Borrowings,0,70,72,62,59,54,48,78
Other Liabilities,258,342,206,193,221,184,223,209
Total Liabilities,1200,1549,1498,1572,1985,2435,2788,3027
Fixed Assets,18,90,95,86,77,72,70,103
CWIP,0,0,2,1,1,3,2,1
Investments,901,1141,1138,1263,1726,2121,2359,2598
Other Assets,281,318,263,221,180,239,357,326
Total Assets,1200,1549,1498,1572,1985,2435,2788,3027
