,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74,16.74
Reserves,-10.32,-9.39,-8.29,1.44,1.09,0.26,-1.31,-2.0,10.61,9.32,12.48,31.97,32.26
Borrowings,1.84,0.86,6.53,6.79,13.26,17.7,17.88,18.16,20.11,20.58,20.54,21.04,16.17
Other Liabilities,6.31,7.63,4.14,2.19,3.19,3.75,4.71,4.5,5.02,4.09,5.78,7.55,7.75
Total Liabilities,14.57,15.84,19.12,27.16,34.28,38.45,38.02,37.4,52.48,50.73,55.54,77.3,72.92
Fixed Assets,9.05,8.79,9.04,19.17,22.33,25.2,27.67,26.56,38.04,35.92,33.76,58.68,57.76
CWIP,0.0,0.0,0.0,0.19,1.82,2.36,0.14,0.0,0.0,0.0,5.85,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,5.52,7.05,10.08,7.8,10.13,10.89,10.21,10.84,14.44,14.81,15.93,18.62,15.16
Total Assets,14.57,15.84,19.12,27.16,34.28,38.45,38.02,37.4,52.48,50.73,55.54,77.3,72.92
