,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.99,2.95,2.66,4.45,2.14,2.05,4.8,3.68,3.02,2.86,2.61,3.25,1.49
Expenses,6.72,3.77,4.25,5.92,3.5,3.28,6.96,5.92,4.53,5.3,4.94,4.72,2.16
Operating Profit,0.27,-0.82,-1.59,-1.47,-1.36,-1.23,-2.16,-2.24,-1.51,-2.44,-2.33,-1.47,-0.67
OPM %,3.86,-27.8,-59.77,-33.03,-63.55,-60.0,-45.0,-60.87,-50.0,-85.31,-89.27,-45.23,-44.97
Other Income,3.91,0.12,0.22,0.01,0.17,-0.02,0.15,0.02,0.16,0.06,0.04,0.03,-8.46
Interest,0.09,0.05,0.07,0.08,0.03,0.05,0.31,0.01,0.01,0.03,0.06,0.03,0.08
Depreciation,0.06,0.06,0.18,0.07,0.07,0.07,0.21,0.08,0.17,-0.02,0.46,0.08,0.23
Profit before tax,4.03,-0.81,-1.62,-1.61,-1.29,-1.37,-2.53,-2.31,-1.53,-2.39,-2.81,-1.55,-9.44
Tax %,17.62,14.81,-24.07,0.0,0.0,0.0,-5.14,0.0,0.0,0.0,-2.14,0.0,0.0
Net Profit,3.32,-0.69,-2.0,-1.61,-1.3,-1.38,-2.65,-2.31,-1.53,-2.39,-2.88,-1.55,-9.44
EPS in Rs,7.1,-1.48,-4.28,-3.44,-2.78,-2.95,-5.67,-4.94,-3.27,-5.11,-6.16,-3.32,-20.2
