,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.02,2.88,3.49,3.88,5.8100000000000005,9.1,9.1,11.1,11.1,11.1,11.1,11.1,11.1
Reserves,1.17,1.69,2.86,3.39,2.07,2.11,8.53,8.66,9.87,6.99,2.84,1.13,0.68
Borrowings,11.68,13.35,13.12,18.44,23.28,25.26,31.2,32.25,31.45,35.94,42.28,35.21,34.64
Other Liabilities,3.5700000000000003,5.79,9.27,9.4,11.86,13.69,15.93,18.08,14.18,12.28,4.84,2.72,0.87
Total Liabilities,18.44,23.71,28.74,35.11,43.02,50.16,64.76,70.09,66.6,66.31,61.06,50.16,47.29
Fixed Assets,7.62,7.67,8.35,9.27,8.26,9.12,11.87,12.41,11.35,9.92,6.29,3.22,3.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Other Assets,10.82,16.04,20.39,25.84,34.76,41.04,52.89,57.68,55.25,56.38,54.77,46.94,44.29
Total Assets,18.44,23.71,28.74,35.11,43.02,50.16,64.76,70.09,66.6,66.31,61.06,50.16,47.29
