,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.28,58.33,45.68,24.74,20.15,15.05,6.71,5.46,4.25,3.47,4.15,8.14,12.03
Expenses,38.5,55.45,47.62,25.26,19.43,14.94,6.79,6.09,4.57,3.67,4.1,8.18,12.97
Operating Profit,0.78,2.88,-1.94,-0.52,0.72,0.11,-0.08,-0.63,-0.32,-0.2,0.05,-0.04,-0.94
OPM %,1.99,4.94,-4.25,-2.1,3.57,0.73,-1.19,-11.54,-7.53,-5.76,1.2,-0.49,-7.81
Other Income,1.22,0.51,0.07,4.22,0.38,0.07,0.0,2.93,0.0,-0.12,0.16,0.94,0.94
Interest,0.42,0.45,0.39,0.25,0.04,0.04,0.04,0.04,0.04,0.02,0.03,0.04,0.04
Depreciation,0.16,0.89,1.17,1.17,1.11,0.93,0.83,0.9,0.11,0.1,0.1,0.07,0.00
Profit before tax,1.42,2.05,-3.43,2.28,-0.05,-0.79,-0.95,1.36,-0.47,-0.44,0.08,0.79,-0.04
Tax %,17.61,24.39,-3.21,15.79,-140.0,0.0,0.0,30.15,2.13,4.55,-25.0,-2.53,
Net Profit,1.17,1.54,-3.54,1.91,-0.12,-0.79,-0.95,0.95,-0.46,-0.43,0.09,0.81,-0.02
EPS in Rs,1.09,1.43,-3.04,1.64,-0.1,-0.68,-0.82,0.82,-0.39,-0.37,0.08,0.7,-0.02
