,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.5,6.5,6.5,6.5,12.99,12.99,12.99,17.32,17.32,17.32,17.32,17.32,17.32
Reserves,45.71,46.07,46.8,47.45,44.01,47.04,49.39,48.02,51.32,54.16,56.24,58.62,60.1
Borrowings,59.22,55.7,26.23,38.87,41.2,52.96,67.99,59.48,44.44,41.35,44.19,21.56,20.96
Other Liabilities,20.13,16.9,40.73,42.0,62.41,61.5,59.71,66.12,71.75,53.43,39.97,48.11,40.23
Total Liabilities,131.56,125.17,120.26,134.82,160.61,174.49,190.08,190.94,184.83,166.26,157.72,145.61,138.61
Fixed Assets,9.9,8.93,14.72,14.48,14.82,14.2,12.52,12.21,11.92,11.43,11.22,10.68,11.47
CWIP,0.75,0.75,0.77,0.87,0.02,0.02,0.0,0.0,0.0,0.07,0.0,0.0,0.0
Investments,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.11,0.13,0.15
Other Assets,120.87,115.45,104.73,119.43,145.73,160.23,177.52,178.69,172.87,154.72,146.39,134.8,126.99
Total Assets,131.56,125.17,120.26,134.82,160.61,174.49,190.08,190.94,184.83,166.26,157.72,145.61,138.61
