,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,0.25,0.25,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.1
Reserves,0.1,0.1,0.1,0.91,0.92,0.94,0.96,1.01,1.01,1.05,1.08,1.09,1.11
Borrowings,0.0,0.0,0.03,0.03,0.13,0.07,0.27,0.24,0.24,0.39,0.59,0.59,0.44
Other Liabilities,-0.01,0.0,-0.01,0.56,1.21,3.62,9.16,6.21,1.82,0.87,0.59,0.37,0.18
Total Liabilities,0.34,0.35,0.37,3.59,4.35,6.72,12.48,9.55,5.16,4.4,4.35,4.14,3.82
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.34,0.35,0.37,3.59,4.35,6.72,12.48,9.55,5.16,4.39,4.35,4.14,3.82
Total Assets,0.34,0.35,0.37,3.59,4.35,6.72,12.48,9.55,5.16,4.4,4.35,4.14,3.82
