,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.02,7.74,10.86,8.31,8.96,10.0,11.9,11.67,12.38,13.78,14.8,14.06,10.11
Expenses,5.34,6.9,9.81,7.74,8.28,9.05,11.43,10.93,11.61,12.89,13.89,13.21,9.38
Operating Profit,0.68,0.84,1.05,0.57,0.68,0.95,0.47,0.74,0.77,0.89,0.91,0.85,0.73
OPM %,11.3,10.85,9.67,6.86,7.59,9.5,3.95,6.34,6.22,6.46,6.15,6.05,7.22
Other Income,0.0,0.0,0.07,0.01,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
Interest,0.29,0.24,0.25,0.18,0.31,0.51,0.15,0.33,0.38,0.44,0.49,0.45,0.37
Depreciation,0.33,0.33,0.33,0.33,0.31,0.35,0.31,0.32,0.33,0.33,0.21,0.26,0.26
Profit before tax,0.06,0.27,0.54,0.07,0.08,0.09,0.01,0.09,0.1,0.12,0.21,0.14,0.1
Tax %,33.33,29.63,24.07,28.57,25.0,22.22,0.0,33.33,30.0,16.67,33.33,21.43,20.0
Net Profit,0.05,0.19,0.41,0.06,0.06,0.07,0.01,0.07,0.07,0.09,0.14,0.11,0.08
EPS in Rs,0.0,0.02,0.04,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01
