,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.65,0.63,0.00,0.74,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,1.83,0.78,0.11,0.98,0.22,0.17,0.17,0.12,0.46,0.29,0.25,0.25,0.19
Operating Profit,-0.18,-0.15,-0.11,-0.24,-0.19,-0.17,-0.17,-0.12,-0.46,-0.29,-0.25,-0.25,-0.19
OPM %,-10.91,-23.81,,-32.43,-633.33,,,,,,,,
Other Income,0.29,-1.05,0.16,0.22,0.13,0.19,0.25,0.52,0.59,0.45,0.41,0.29,0.42
Interest,0.0,0.0,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.06,0.04,0.07,0.12,0.12,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.0
Profit before tax,0.05,-1.24,-0.02,-0.14,-0.18,-0.07,-0.01,0.31,0.13,0.16,0.16,0.04,0.23
Tax %,40.0,23.39,-200.00,0.0,0.0,-14.29,0.00,0.00,23.08,18.75,18.75,25.00,
Net Profit,0.04,-0.95,-0.06,-0.14,-0.18,-0.08,-0.01,0.31,0.10,0.13,0.13,0.03,0.23
EPS in Rs,0.02,-0.5,-0.03,-0.07,-0.09,-0.04,-0.01,0.16,0.05,0.07,0.07,0.02,0.13
