,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0.0,0.03,1.5,0.49,0.00,0.5,0.00,0.00,0.00,0.00,0.01,0.00
Expenses,0.0,0.0,0.01,1.26,0.4,0.04,0.01,0.04,0.05,0.01,0.01,0.1,0.01
Operating Profit,0.0,0.0,0.02,0.24,0.09,-0.04,0.49,-0.04,-0.05,-0.01,-0.01,-0.09,-0.01
OPM %,,,66.67,16.0,18.37,,98.0,,,,,-900.0,
Other Income,0.0,0.0,0.0,-0.03,-1.26,-0.03,0.0,0.00,0.00,0.00,0.00,0.0,0.00
Interest,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,0.00
Profit before tax,0.0,0.0,0.02,0.21,-1.17,-0.07,0.49,-0.04,-0.05,-0.01,-0.01,-0.09,-0.01
Tax %,,,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0.00,0.0,0.00
Net Profit,0.0,0.0,0.02,0.21,-1.17,-0.07,0.49,-0.04,-0.05,-0.01,-0.01,-0.09,-0.01
EPS in Rs,0.0,0.0,0.0,0.02,-0.1,-0.01,0.04,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00
