,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,85,85,85,85,85,85,85,85,85,85,85,85,85
Reserves,128,131,105,59,32,28,73,142,138,219,419,420,417
Borrowings,64,63,48,77,79,111,71,14,85,79,88,88,84
Other Liabilities,47,51,54,44,46,40,18,20,29,64,51,43,45
Total Liabilities,323,331,292,265,243,264,247,261,337,446,642,636,632
Fixed Assets,237,224,212,200,192,184,181,172,247,235,224,221,214
CWIP,0,0,0,0,0,0,1,0,0,0,7,0,1
Investments,5,5,15,15,14,8,5,21,32,150,118,45,47
Other Assets,81,101,65,49,36,73,59,68,58,61,294,370,369
Total Assets,323,331,292,265,243,264,247,261,337,446,642,636,632
