,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,11,11,11,15,15,15,15,15,15,15
Reserves,19,21,24,28,32,35,44,47,52,55,60,64,66
Borrowings,58,63,63,69,82,89,84,69,54,65,65,50,49
Other Liabilities,57,66,88,75,86,60,77,70,79,61,71,63,75
Total Liabilities,145,161,186,183,210,195,220,201,199,195,211,192,205
Fixed Assets,15,14,15,12,30,26,26,25,22,19,17,16,17
CWIP,0,0,0,0,0,0,1,0,0,0,0,0,0
Investments,1,1,1,1,1,1,2,4,5,5,7,8,8
Other Assets,128,146,169,169,179,167,191,172,173,172,187,167,180
Total Assets,145,161,186,183,210,195,220,201,199,195,211,192,205
