,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,422,453.0,631.0,799.0,486.0,313.0,249.0,195.0,164.0,171.0,237.0,250.0,315
Expenses,328,352.0,525.0,723.0,413.0,262.0,218.0,159.0,225.0,169.0,208.0,220.0,266
Operating Profit,94,102.0,106.0,76.0,73.0,51.0,31.0,35.0,-61.0,2.0,29.0,30.0,49
OPM %,22,22.0,17.0,9.0,15.0,16.0,12.0,18.0,-37.0,1.0,12.0,12.0,16
Other Income,5,10.0,17.0,20.0,18.0,18.0,26.0,31.0,56.0,4.0,10.0,-47.0,3
Interest,40,47.0,51.0,42.0,65.0,72.0,83.0,78.0,68.0,68.0,73.0,66.0,64
Depreciation,4,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2
Profit before tax,56,62.0,69.0,49.0,22.0,-5.0,-27.0,-13.0,-75.0,-63.0,-35.0,-84.0,-13
Tax %,36,29.0,37.0,41.0,42.0,29.0,30.0,71.0,23.0,33.0,34.0,27.0,
Net Profit,36,44.0,43.0,29.0,13.0,-3.0,-19.0,-4.0,-58.0,-42.0,-23.0,-61.0,-19
EPS in Rs,,7.41,7.32,4.84,2.17,-0.55,-3.21,-0.67,-9.75,-7.12,-3.93,-8.81,-2.84
