,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,5,5,11,11,12,13,13,39,39,39
Reserves,4,4,4,5,4,80,102,181,273,338,366,418,518
Borrowings,0,0,0,0,0,20,238,112,90,63,39,44,2
Other Liabilities,0,0,0,0,0,30,49,85,106,80,100,161,161
Total Liabilities,9,9,10,10,10,142,401,391,482,494,544,662,721
Fixed Assets,0,0,0,0,0,70,79,117,154,221,236,281,282
CWIP,0,0,0,0,0,0,15,12,30,8,7,6,7
Investments,0,0,0,10,10,0,1,0,0,0,4,40,52
Other Assets,9,9,10,0,0,72,307,262,297,265,296,336,381
Total Assets,9,9,10,10,10,142,401,391,482,494,544,662,721
