,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,126.0,201.0,325.0,500.0,640.0,815.0,1093.0,1224
Expenses,32.0,47.0,67.0,86.0,101.0,144.0,191.0,201
Operating Profit,94.0,154.0,258.0,414.0,539.0,670.0,902.0,1023
OPM %,74.0,77.0,79.0,83.0,84.0,82.0,82.0,84
Other Income,0.0,3.0,13.0,23.0,19.0,26.0,36.0,39
Interest,36.0,53.0,115.0,185.0,207.0,209.0,277.0,336
Depreciation,2.0,2.0,3.0,6.0,6.0,7.0,7.0,8
Profit before tax,56.0,101.0,153.0,247.0,345.0,480.0,654.0,718
Tax %,34.0,34.0,27.0,15.0,23.0,23.0,23.0,
Net Profit,37.0,67.0,112.0,211.0,267.0,370.0,503.0,551
EPS in Rs,4.73,8.49,14.18,22.74,28.77,7.45,10.1,11.07
