,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,17,17,17,17,17,17,17,17,17,18,18,18
Reserves,-364,-302,-117,-162,2,-20,-65,-378,325,413,503,637,785
Borrowings,448,412,285,188,204,144,185,209,441,664,639,758,786
Other Liabilities,751,753,788,1092,1207,1163,1148,1203,1037,1138,1264,1637,1477
Total Liabilities,851,880,973,1136,1430,1305,1286,1051,1820,2233,2424,3050,3066
Fixed Assets,303,270,282,333,345,336,308,254,544,527,539,584,587
CWIP,32,30,36,29,110,5,21,9,54,204,254,262,310
Investments,6,5,61,63,146,243,267,180,274,290,268,288,310
Other Assets,509,574,593,711,828,721,689,608,947,1212,1363,1915,1860
Total Assets,851,880,973,1136,1430,1305,1286,1051,1820,2233,2424,3050,3066
