,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,8,8,8,8,8,8,8
Reserves,14,14,16,18,19,22,31,36,24,25,26,29,30
Borrowings,42,43,43,63,56,46,43,66,79,86,85,91,93
Other Liabilities,37,52,42,25,22,17,21,36,26,31,35,42,44
Total Liabilities,97,114,105,110,101,89,104,145,137,150,155,171,175
Fixed Assets,11,10,10,9,9,9,12,13,11,10,36,32,30
CWIP,0,0,0,0,0,0,0,12,21,25,0,0,0
Investments,2,1,1,1,1,0,0,0,0,0,0,0,0
Other Assets,83,102,94,100,91,80,92,121,105,114,118,139,144
Total Assets,97,114,105,110,101,89,104,145,137,150,155,171,175
