,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,11,11,11,11,11,11,12,13,13,13,13,13
Reserves,6,6,6,7,9,11,14,20,23,29,38,44,48
Borrowings,15,20,23,27,26,34,40,47,61,59,98,71,74
Other Liabilities,14,19,12,11,18,17,20,17,20,22,31,11,13
Total Liabilities,43,55,51,56,63,73,85,96,117,123,179,138,147
Fixed Assets,12,12,11,15,24,24,24,24,29,30,37,43,41
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,1,1,3,14,22
Other Assets,31,43,39,40,38,49,60,71,87,91,139,82,84
Total Assets,43,55,51,56,63,73,85,96,117,123,179,138,147
