,2022-03-01,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,35.37,18.42,18.45,19.25,14.22,5.91
Expenses,32.62,18.78,17.72,17.38,13.0,5.69
Operating Profit,2.75,-0.36,0.73,1.87,1.22,0.22
OPM %,7.77,-1.95,3.96,9.71,8.58,3.72
Other Income,0.15,1.03,0.75,0.0,0.0,0.11
Interest,0.65,0.18,0.36,0.18,0.42,-0.02
Depreciation,0.33,0.07,0.14,0.14,0.08,0.08
Profit before tax,1.92,0.42,0.98,1.55,0.72,0.27
Tax %,21.88,0.0,6.12,14.84,11.11,7.41
Net Profit,1.56,0.43,1.12,1.25,0.71,0.35
EPS in Rs,0.74,0.25,0.45,0.5,0.28,0.14
