,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.19,0.53,0.41,0.51,0.38,0.46,0.38
Expenses,0.10,0.11,0.08,0.06,0.25,0.09,0.19
Operating Profit,0.09,0.42,0.33,0.45,0.13,0.37,0.19
OPM %,47.37,79.25,80.49,88.24,34.21,80.43,50.00
Other Income,0.00,0.00,0.00,0.00,0.01,0.00,0.07
Interest,0.22,0.22,0.22,0.27,0.24,0.17,0.30
Depreciation,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Profit before tax,-0.19,0.14,0.05,0.12,-0.16,0.14,-0.10
Tax %,0.00,14.29,40.00,16.67,37.50,14.29,-40.00
Net Profit,-0.18,0.12,0.04,0.10,-0.10,0.13,-0.14
EPS in Rs,,,,,,,
