,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44
Reserves,43.51,43.91,43.94,44.06,45.13,45.79,47.28,50.22,51.21,52.62,54.86,56.35,56.69
Borrowings,1.42,0.0,0.0,5.0,6.17,2.65,5.13,3.09,2.07,0.04,0.03,1.85,1.92
Other Liabilities,0.92,1.14,0.4,0.92,0.77,2.15,2.1,1.35,1.16,0.24,0.54,0.84,0.65
Total Liabilities,47.29,46.49,45.78,51.42,53.51,52.03,55.95,56.1,55.88,54.34,56.87,60.48,60.7
Fixed Assets,1.95,2.02,1.92,1.91,1.88,1.85,1.84,1.82,1.85,1.85,2.4,2.23,2.18
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,1.33,1.35
Investments,11.6,14.21,12.25,12.34,12.34,12.32,12.65,14.11,12.68,13.33,13.43,12.05,12.05
Other Assets,33.74,30.26,31.61,37.17,39.29,37.86,41.46,40.17,41.35,39.16,39.75,44.87,45.12
Total Assets,47.29,46.49,45.78,51.42,53.51,52.03,55.95,56.1,55.88,54.34,56.87,60.48,60.7
