,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,12,12,12,12,12,15,20,20,27,27
Reserves,173,230,304,607,696,835,1006,1266,1488,1876,2316,2684,2875
Borrowings,94,92,142,203,197,229,189,275,191,80,98,87,98
Other Liabilities,202,211,237,344,397,386,468,546,595,697,952,1564,1328
Total Liabilities,480,544,694,1165,1301,1462,1675,2099,2289,2673,3387,4362,4328
Fixed Assets,164,215,289,557,645,741,842,1105,1255,1314,1496,1950,2083
CWIP,13,12,8,27,15,25,73,81,44,57,123,126,205
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,303,317,397,582,641,695,759,913,990,1302,1768,2286,2040
Total Assets,480,544,694,1165,1301,1462,1675,2099,2289,2673,3387,4362,4328
