,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,1.0,1.5,3.0,3.5,4.63,4.63,4.93,4.93,14.8,14.8
Reserves,0.02,0.6900000000000001,0.97,2.36,3.64,5.95,20.1,22.72,26.31,28.47,20.77,21.35
Borrowings,0.0,1.37,6.9,3.77,6.27,11.27,14.9,15.54,10.3,4.8100000000000005,11.22,14.12
Other Liabilities,0.05,1.13,1.92,7.16,8.06,7.41,10.4,11.24,6.66,10.45,10.37,2.58
Total Liabilities,0.08,3.2,10.79,14.79,20.97,28.13,50.03,54.13,48.2,48.66,57.16,52.85
Fixed Assets,0.01,0.06,0.79,0.98,1.02,3.62,3.23,4.8,4.24,3.92,3.47,3.42
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.07,3.14,10.0,13.81,19.95,24.51,46.8,49.33,43.96,44.74,53.69,49.43
Total Assets,0.08,3.2,10.79,14.79,20.97,28.13,50.03,54.13,48.2,48.66,57.16,52.85
