,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,0.01,5.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Reserves,5.84,3.52,4.18,2.41,0.1,0.12,0.16,0.03,-0.27,-0.6000000000000001,-0.1,-0.08,0.1
Borrowings,1.0,3.14,2.15,3.96,2.55,3.13,3.54,3.47,3.38,4.5600000000000005,9.43,8.82,9.8
Other Liabilities,8.72,9.66,12.0,8.77,8.51,6.96,5.31,5.42,5.75,4.9,4.71,4.24,5.36
Total Liabilities,15.57,16.33,18.34,20.14,18.66,17.71,16.51,16.42,16.36,16.36,21.54,20.48,22.76
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,4.27,4.4,4.4,14.28,6.25,5.3,4.45,4.45,4.45,4.45,11.75,15.48,15.48
Other Assets,11.3,11.93,13.94,5.86,12.41,12.41,12.06,11.97,11.91,11.91,9.79,5.0,7.28
Total Assets,15.57,16.33,18.34,20.14,18.66,17.71,16.51,16.42,16.36,16.36,21.54,20.48,22.76
