,Mar 2006,Mar 2014,Mar 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.0,6.0,8.0,11.0,8.0,14.0,26.0,26.0,20.0,12.0,11
Expenses,13.0,12.0,7.0,14.0,11.0,14.0,26.0,26.0,28.0,27.0,24
Operating Profit,2.0,-5.0,1.0,-3.0,-3.0,-0.0,0.0,-0.0,-8.0,-15.0,-13
OPM %,10.0,-81.0,10.0,-31.0,-33.0,-1.0,1.0,-1.0,-38.0,-127.0,-113
Other Income,0.0,-0.0,0.0,1.0,4.0,2.0,2.0,2.0,9.0,1.0,1
Interest,1.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,9.0,7.0,9
Depreciation,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1
Profit before tax,0.0,-6.0,1.0,-3.0,-0.0,-1.0,-4.0,-5.0,-8.0,-23.0,-22
Tax %,275.0,0.0,0.0,-1.0,586.0,-140.0,-34.0,-20.0,3.0,3.0,
Net Profit,-0.0,-6.0,1.0,-3.0,0.0,-1.0,-6.0,-6.0,-8.0,-22.0,-22
EPS in Rs,-0.09,-7.18,0.73,-3.31,0.34,-0.9,-2.88,-4.94,-5.8,-16.0,-16.91
