,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,3,3,3,3,3,3,3,3
Reserves,48,50,53,55,54,50,49,51,49,48,50,54,55
Borrowings,9,8,6,10,9,8,6,8,6,6,4,0,0
Other Liabilities,27,28,30,29,28,28,30,28,35,35,41,46,44
Total Liabilities,87,89,92,98,94,89,88,90,93,92,98,103,103
Fixed Assets,15,14,13,12,12,11,11,10,11,10,10,11,12
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,2,3,7
Other Assets,72,75,79,85,82,77,77,79,82,82,86,89,84
Total Assets,87,89,92,98,94,89,88,90,93,92,98,103,103
