,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,0.25,0.25,0.25,0.25,0.25,0.49,0.49,0.49,0.49,0.49,0.49,0.49
Reserves,-29.14,-28.92,-28.35,10.06,10.92,12.06,12.02,13.07,14.97,12.85,15.87,22.56,28.54
Borrowings,12.37,13.87,20.08,13.58,18.4,18.06,16.43,16.8,21.0,15.01,20.78,31.26,31.03
Other Liabilities,32.55,35.36,36.69,8.92,12.9,10.97,13.54,12.46,11.12,7.21,6.53,12.31,10.49
Total Liabilities,16.03,20.56,28.67,32.81,42.47,41.34,42.48,42.82,47.58,35.56,43.67,66.62,70.55
Fixed Assets,7.22,8.67,13.03,17.83,23.57,22.42,20.7,22.17,24.46,19.38,24.22,38.46,44.97
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.48
Investments,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,8.8,11.88,15.63,14.97,18.89,18.91,21.77,20.64,23.11,16.17,19.44,23.41,25.09
Total Assets,16.03,20.56,28.67,32.81,42.47,41.34,42.48,42.82,47.58,35.56,43.67,66.62,70.55
