,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,9,9,9,9,9,9,14,14,14,14,14,14
Reserves,86,116,170,256,414,626,1022,1192,1390,1748,1882,2082,2177
Borrowings,50,61,56,58,11,19,7,9,2,4,4,3,10
Other Liabilities,39,62,163,154,189,414,488,400,475,517,617,636,774
Total Liabilities,183,248,398,478,623,1069,1526,1615,1880,2282,2516,2735,2974
Fixed Assets,43,51,78,90,104,160,312,293,271,292,273,398,428
CWIP,2,2,5,0,42,94,2,9,26,6,40,34,35
Investments,45,35,40,111,33,360,584,630,680,1235,931,1005,918
Other Assets,93,161,276,277,444,454,628,683,903,749,1272,1298,1594
Total Assets,183,248,398,478,623,1069,1526,1615,1880,2282,2516,2735,2974
