,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.99,6.88,8.05,7.94,17.94,12.59,24.18,18.82,21.45,17.74,27.18,25.81,30.92
Expenses,5.43,6.43,7.25,7.52,16.92,11.64,23.13,17.79,20.42,16.58,25.29,24.28,29.53
Operating Profit,0.56,0.45,0.8,0.42,1.02,0.95,1.05,1.03,1.03,1.16,1.89,1.53,1.39
OPM %,9.35,6.54,9.94,5.29,5.69,7.55,4.34,5.47,4.8,6.54,6.95,5.93,4.5
Other Income,0.0,0.0,0.01,0.0,0.03,0.09,0.41,0.05,0.08,0.03,0.12,0.01,0.01
Interest,0.3,0.3,0.24,0.2,0.73,0.74,0.62,0.72,0.76,0.82,0.86,0.8,0.78
Depreciation,0.09,0.09,0.1,0.09,0.12,0.1,0.17,0.1,0.1,0.1,0.24,0.12,0.12
Profit before tax,0.17,0.06,0.47,0.13,0.2,0.2,0.67,0.26,0.25,0.27,0.91,0.62,0.5
Tax %,0.0,0.0,-14.89,0.0,0.0,0.0,64.18,0.0,0.0,0.0,54.95,0.0,0.0
Net Profit,0.17,0.06,0.53,0.13,0.2,0.2,0.25,0.26,0.25,0.27,0.41,0.62,0.5
EPS in Rs,0.4,0.14,1.23,0.3,0.23,0.23,0.29,0.31,0.29,0.32,0.48,0.73,0.59
