,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10,10,10,16,16,16,16,16,16,16,16,16,16
Reserves,13,15,17,10,14,21,27,36,39,55,65,80,92
Borrowings,8,15,17,12,10,5,4,1,8,1,0,0,0
Other Liabilities,17,23,23,31,21,23,36,31,40,36,50,83,81
Total Liabilities,48,62,67,69,61,64,83,84,103,108,131,179,190
Fixed Assets,7,17,24,21,19,17,17,16,16,16,14,13,15
CWIP,3,3,0,0,0,0,0,0,1,0,0,5,7
Investments,0,0,0,0,0,4,14,15,26,34,18,34,30
Other Assets,37,42,42,47,43,44,52,53,60,59,98,127,137
Total Assets,48,62,67,69,61,64,83,84,103,108,131,179,190
