,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.48,8.85,4.56,8.36,46.39,1.44,13.3,14.87,1.86,0.54,0.31,3.12,10.27
Expenses,30.79,7.63,3.13,8.6,45.75,1.24,13.19,14.87,2.37,0.5,0.25,3.15,9.89
Operating Profit,0.69,1.22,1.43,-0.24,0.64,0.2,0.11,0.0,-0.51,0.04,0.06,-0.03,0.38
OPM %,2.19,13.79,31.36,-2.87,1.38,13.89,0.83,0.0,-27.42,7.41,19.35,-0.96,3.70
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.2,0.56,0.00
Interest,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.02,0.0,0.0,0.00
Depreciation,0.04,0.03,0.02,0.02,0.05,0.04,0.09,0.04,0.04,0.02,0.01,0.01,0.00
Profit before tax,0.63,1.19,1.41,-0.26,0.59,0.16,0.02,-0.09,-0.5,0.01,0.25,0.52,0.38
Tax %,19.05,22.69,3.55,165.38,32.2,37.5,-950.0,-11.11,2.0,0.0,16.0,17.31,
Net Profit,0.51,0.92,1.35,0.17,0.4,0.1,0.21,-0.1,-0.48,0.02,0.2,0.43,0.29
EPS in Rs,0.15,0.27,0.4,0.05,0.12,0.03,0.06,-0.03,-0.14,0.01,0.06,0.13,0.08
