,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.46,21.38,43.18,30.78,19.27,20.48,34.87,31.91,26.75,29.65,34.48,19.83,22.97
Expenses,8.76,17.88,39.13,28.44,19.46,17.76,30.12,29.11,25.06,27.03,31.37,18.12,19.57
Operating Profit,2.7,3.5,4.05,2.34,-0.19,2.72,4.75,2.8,1.69,2.62,3.11,1.71,3.4
OPM %,23.56,16.37,9.38,7.6,-0.99,13.28,13.62,8.77,6.32,8.84,9.02,8.62,14.8
Other Income,0.13,0.29,1.48,0.42,0.92,0.37,0.48,0.96,0.65,0.31,0.79,0.88,0.3
Interest,0.42,0.5,1.04,0.24,0.21,0.25,0.39,0.23,0.33,0.37,0.75,0.61,0.48
Depreciation,0.04,0.04,0.07,0.04,0.04,0.03,0.05,0.04,0.05,0.03,0.05,0.04,0.05
Profit before tax,2.37,3.25,4.42,2.48,0.48,2.81,4.79,3.49,1.96,2.53,3.1,1.94,3.17
Tax %,26.58,23.69,27.83,22.18,29.17,32.74,31.94,26.93,23.47,33.99,24.19,10.82,27.13
Net Profit,1.75,2.48,3.2,1.93,0.33,1.89,3.26,2.55,1.51,1.67,2.35,1.73,2.3
EPS in Rs,1.05,1.48,1.91,1.15,0.2,1.13,1.95,1.52,0.9,1.0,1.41,1.03,1.38
