,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,450.0,505.0,635.0,789.0,804.0,786.0,478.0,850.0,1516.0,1678
Expenses,420.0,467.0,551.0,629.0,693.0,700.0,437.0,742.0,1293.0,1378
Operating Profit,30.0,38.0,84.0,160.0,111.0,86.0,41.0,108.0,223.0,300
OPM %,7.0,7.0,13.0,20.0,14.0,11.0,9.0,13.0,15.0,18
Other Income,0.0,0.0,3.0,4.0,43.0,-15.0,19.0,15.0,19.0,27
Interest,2.0,1.0,7.0,13.0,13.0,4.0,2.0,2.0,3.0,2
Depreciation,5.0,6.0,26.0,40.0,19.0,12.0,9.0,7.0,18.0,26
Profit before tax,24.0,31.0,53.0,111.0,122.0,55.0,48.0,114.0,220.0,299
Tax %,1.0,1.0,6.0,13.0,14.0,4.0,-4.0,2.0,7.0,
Net Profit,24.0,31.0,50.0,97.0,105.0,52.0,50.0,111.0,204.0,276
EPS in Rs,0.58,0.75,1.22,2.36,2.57,1.28,1.22,2.72,4.89,6.50
