,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,83,83,83,83,83,83,83,83,83,83,83,83,83
Reserves,249,249,254,260,272,268,270,268,286,277,292,358,371
Borrowings,4,4,3,1,0,0,0,0,0,0,0,0,0
Other Liabilities,269,282,341,356,379,370,372,397,431,418,432,469,483
Total Liabilities,605,617,679,700,733,721,724,747,799,778,806,909,937
Fixed Assets,2,3,2,2,2,2,2,2,1,1,1,1,1
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,5,5,7,7,3,15,24,29,20,22,14,50,65
Other Assets,597,609,670,691,728,704,698,717,777,755,791,857,870
Total Assets,605,617,679,700,733,721,724,747,799,778,806,909,937
