,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1214.0,1497.0,1254.0,853.0,1297.0,1312.0,1327.0,1124.0,1220.0,1483.0,1292.0,1112.0,1113.0
Expenses,1111.0,1349.0,1183.0,846.0,1205.0,1220.0,1264.0,1051.0,1127.0,1383.0,1195.0,1043.0,1055.0
Operating Profit,103.0,148.0,72.0,7.0,92.0,92.0,63.0,73.0,94.0,100.0,98.0,69.0,58.0
OPM %,8.0,10.0,6.0,1.0,7.0,7.0,5.0,6.0,8.0,7.0,8.0,6.0,5.0
Other Income,10.0,23.0,29.0,13.0,21.0,10.0,19.0,9.0,20.0,19.0,22.0,23.0,28.0
Interest,22.0,16.0,11.0,15.0,19.0,16.0,10.0,7.0,10.0,17.0,12.0,12.0,14.0
Depreciation,18.0,18.0,16.0,14.0,15.0,16.0,16.0,15.0,18.0,18.0,21.0,21.0,26.0
Profit before tax,74.0,136.0,74.0,-9.0,79.0,70.0,56.0,60.0,86.0,85.0,86.0,59.0,46.0
Tax %,27.0,26.0,24.0,26.0,21.0,26.0,24.0,26.0,26.0,26.0,32.0,27.0,27.0
Net Profit,54.0,101.0,56.0,-6.0,62.0,52.0,42.0,44.0,64.0,63.0,59.0,43.0,33.0
EPS in Rs,4.74,8.81,4.89,-0.56,5.4,4.49,3.66,3.87,5.56,5.52,5.1,3.76,2.91
