,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0,43.0,43.0,48.0,74.0,81.0,82.0,53.0,62.0,89.0,124.0,112.0,139.0
Expenses,1,39.0,40.0,43.0,65.0,69.0,72.0,45.0,57.0,72.0,103.0,90.0,109.0
Operating Profit,-1,4.0,3.0,6.0,9.0,12.0,10.0,8.0,5.0,18.0,21.0,22.0,30.0
OPM %,,9.0,8.0,11.0,12.0,15.0,12.0,15.0,8.0,20.0,17.0,19.0,22.0
Other Income,0,0.0,5.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,0.0,4.0
Interest,0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0
Depreciation,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,-1,2.0,5.0,5.0,9.0,11.0,13.0,9.0,7.0,17.0,17.0,19.0,30.0
Tax %,0,37.0,9.0,28.0,23.0,26.0,20.0,17.0,34.0,33.0,12.0,13.0,22.0
Net Profit,-1,1.0,5.0,4.0,7.0,8.0,11.0,7.0,5.0,11.0,15.0,17.0,23.0
EPS in Rs,-0.12,0.22,0.7,0.52,0.95,1.12,1.29,0.89,0.58,1.37,1.83,2.0,2.32
