,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0.00,0.91,2.37,5.4,10.06,5.87,4.82
Expenses,0.0,0.01,1.11,2.28,4.65,9.69,5.34,4.35
Operating Profit,0.0,-0.01,-0.2,0.09,0.75,0.37,0.53,0.47
OPM %,,,-21.98,3.8,13.89,3.68,9.03,9.75
Other Income,0.0,0.00,0.0,0.0,0.02,0.17,0.0,0.0
Interest,0.0,0.00,0.06,0.1,0.14,0.13,0.28,0.17
Depreciation,0.0,0.00,0.05,0.24,0.19,0.1,0.18,0.18
Profit before tax,0.0,-0.01,-0.31,-0.25,0.44,0.31,0.07,0.12
Tax %,,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,0.0,-0.01,-0.32,-0.25,0.43,0.31,0.07,0.12
EPS in Rs,0.0,-0.01,-0.27,-0.21,0.36,0.26,0.06,0.1
