,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,188.0,270.0,194.0,148.0,159.0,173.0,187.0,168.0,110.0,57.0,83.0,117.0,123
Expenses,185.0,264.0,209.0,149.0,155.0,167.0,184.0,166.0,109.0,58.0,78.0,113.0,127
Operating Profit,3.0,6.0,-15.0,-1.0,5.0,6.0,3.0,2.0,1.0,-1.0,6.0,4.0,-4
OPM %,2.0,2.0,-8.0,-1.0,3.0,4.0,1.0,1.0,1.0,-2.0,7.0,3.0,-3
Other Income,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,10.0,5.0,2.0,2.0,3
Interest,6.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Depreciation,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1
Profit before tax,-0.0,4.0,-17.0,-6.0,1.0,6.0,4.0,2.0,8.0,1.0,5.0,4.0,-4
Tax %,400.0,64.0,1.0,5.0,-11.0,35.0,13.0,95.0,5.0,-49.0,2.0,67.0,
Net Profit,0.0,1.0,-17.0,-6.0,1.0,4.0,3.0,0.0,7.0,1.0,5.0,1.0,-5
EPS in Rs,0.09,0.97,-12.6,-4.12,0.84,2.8,2.35,0.07,5.38,1.03,3.64,0.85,-3.44
