,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,145.0,54.0,48.0,24.0,25.0,14.0,30.0,51.0,52.0,52.0,108.0,130.0,128
Expenses,143.0,62.0,54.0,26.0,29.0,16.0,32.0,53.0,73.0,52.0,107.0,134.0,130
Operating Profit,2.0,-7.0,-6.0,-2.0,-4.0,-2.0,-1.0,-2.0,-21.0,-0.0,1.0,-4.0,-2
OPM %,1.0,-14.0,-13.0,-8.0,-14.0,-15.0,-4.0,-3.0,-40.0,-0.0,1.0,-3.0,-2
Other Income,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Interest,5.0,6.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,-3.0,-14.0,-6.0,-2.0,-4.0,-2.0,-1.0,-2.0,-21.0,-0.0,1.0,-3.0,-2
Tax %,1.0,-0.0,1.0,-30.0,1.0,-0.0,-2.0,-0.0,25.0,-0.0,1.0,1.0,
Net Profit,-3.0,-14.0,-6.0,-2.0,-3.0,-2.0,-1.0,-2.0,-16.0,-0.0,1.0,-3.0,-2
EPS in Rs,-0.19,-0.91,-0.41,-0.16,-0.23,-0.14,-0.08,-0.11,-1.05,-0.01,0.09,-0.23,-0.11
