,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2559.0,3100.0,3318.0,3021.0,3380.0,3473.0,3702.0,4167.0,4228.0,3993.0,4103.0,4241.0,4377.0
Expenses,2181.0,2547.0,2835.0,2666.0,3002.0,3165.0,3445.0,3814.0,3847.0,3619.0,3622.0,3710.0,3697.0
Operating Profit,377.0,553.0,483.0,355.0,377.0,307.0,257.0,353.0,381.0,374.0,481.0,531.0,680.0
OPM %,15.0,18.0,15.0,12.0,11.0,9.0,7.0,8.0,9.0,9.0,12.0,13.0,16.0
Other Income,91.0,134.0,165.0,110.0,58.0,118.0,191.0,149.0,99.0,191.0,201.0,196.0,144.0
Interest,133.0,115.0,115.0,117.0,115.0,108.0,109.0,107.0,117.0,129.0,135.0,129.0,119.0
Depreciation,107.0,109.0,105.0,107.0,107.0,106.0,108.0,112.0,110.0,114.0,120.0,120.0,122.0
Profit before tax,229.0,463.0,429.0,241.0,212.0,212.0,232.0,283.0,252.0,322.0,427.0,478.0,583.0
Tax %,29.0,27.0,21.0,20.0,28.0,19.0,8.0,14.0,17.0,16.0,19.0,21.0,25.0
Net Profit,162.0,338.0,337.0,193.0,153.0,170.0,214.0,244.0,210.0,272.0,345.0,378.0,437.0
EPS in Rs,98.82,199.61,213.57,143.6,111.33,128.55,172.26,195.57,168.24,212.38,253.91,263.66,283.68
