,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,69,69,69,69,69,97,97,97,97,97,97,97,117
Reserves,722,884,1051,1191,1493,1804,2097,2347,2563,3280,3830,4397,4725
Borrowings,418,550,624,610,354,406,422,753,767,634,1014,1189,1154
Other Liabilities,578,683,851,846,960,1132,1326,1360,1472,1907,2271,2283,2407
Total Liabilities,1788,2186,2595,2716,2877,3440,3943,4557,4900,5918,7211,7966,8403
Fixed Assets,509,599,864,931,963,1136,1267,1583,1916,2044,2187,3332,3365
CWIP,73,172,133,100,51,62,97,170,178,107,606,111,125
Investments,4,11,91,134,348,472,333,395,315,356,234,183,182
Other Assets,1202,1404,1507,1550,1515,1769,2245,2409,2490,3411,4185,4341,4731
Total Assets,1788,2186,2595,2716,2877,3440,3943,4557,4900,5918,7211,7966,8403
