,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.06,5.06,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.07
Reserves,0.67,1.06,1.33,1.4,1.57,0.79,1.57,2.43,2.53,2.84,2.2,2.97,3.92
Borrowings,0.89,0.89,1.53,1.72,1.69,1.72,1.48,3.25,5.23,5.12,5.29,4.54,4.96
Other Liabilities,1.89,1.92,1.79,2.71,1.8,2.85,2.69,3.8,4.07,5.6,5.25,4.92,5.31
Total Liabilities,8.51,8.93,9.74,10.92,10.15,10.45,10.83,14.57,16.92,18.65,17.83,17.52,19.28
Fixed Assets,2.33,2.85,2.79,2.43,2.44,2.25,2.22,1.96,8.6,7.52,6.04,6.03,6.22
CWIP,0.43,0.0,0.13,0.24,0.0,0.0,0.08,6.24,0.0,0.0,0.0,0.0,0.0
Investments,0.92,1.24,0.73,0.68,0.68,0.49,0.22,0.48,0.56,0.12,0.16,0.15,0.3
Other Assets,4.83,4.84,6.09,7.57,7.03,7.71,8.31,5.89,7.76,11.01,11.63,11.34,12.76
Total Assets,8.51,8.93,9.74,10.92,10.15,10.45,10.83,14.57,16.92,18.65,17.83,17.52,19.28
