,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,68.0,146.0,174.0,220.0,152.0,203.0,183.0,384.0,246.0,318.0,436.0,502.0,471
Expenses,69.0,136.0,164.0,209.0,148.0,191.0,172.0,343.0,229.0,271.0,367.0,424.0,412
Operating Profit,-0.0,10.0,11.0,11.0,4.0,11.0,12.0,41.0,17.0,47.0,68.0,78.0,59
OPM %,-1.0,7.0,6.0,5.0,3.0,6.0,6.0,11.0,7.0,15.0,16.0,16.0,12
Other Income,1.0,0.0,1.0,1.0,1.0,2.0,-8.0,1.0,4.0,2.0,1.0,2.0,2
Interest,2.0,4.0,4.0,6.0,7.0,7.0,7.0,8.0,5.0,8.0,9.0,5.0,6
Depreciation,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,7.0,8.0,9.0,10.0,10
Profit before tax,-4.0,3.0,2.0,3.0,-5.0,3.0,-6.0,29.0,9.0,32.0,51.0,65.0,44
Tax %,36.0,32.0,10.0,17.0,39.0,61.0,77.0,37.0,27.0,27.0,30.0,29.0,
Net Profit,-3.0,2.0,2.0,3.0,-3.0,1.0,-1.0,18.0,7.0,23.0,36.0,46.0,30
EPS in Rs,-4.55,3.18,3.16,4.06,-5.18,1.6,-1.35,17.76,6.32,22.78,34.85,44.6,29.21
