,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.07,0.09,0.07,0.12,0.21,0.07,0.1,0.1,0.2,0.15,0.18,0.16,0.19
Expenses,0.08,0.08,0.08,0.07,0.1,0.1,0.09,0.09,0.08,0.1,0.14,0.11,0.09
Operating Profit,-0.01,0.01,-0.01,0.05,0.11,-0.03,0.01,0.01,0.12,0.05,0.04,0.05,0.1
OPM %,-14.29,11.11,-14.29,41.67,52.38,-42.86,10.0,10.0,60.0,33.33,22.22,31.25,52.63
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,-0.01,0.01,-0.01,0.05,0.11,-0.03,0.01,0.01,0.12,0.05,0.04,0.05,0.1
Tax %,0.0,0.0,-300.0,20.0,9.09,33.33,100.0,0.0,25.0,60.0,-25.0,20.0,30.0
Net Profit,-0.01,0.0,-0.05,0.04,0.1,-0.03,-0.01,0.01,0.1,0.02,0.04,0.04,0.07
EPS in Rs,-0.03,0.0,-0.15,0.12,0.3,-0.09,-0.03,0.03,0.3,0.06,0.12,0.12,0.21
