,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,43,43,43,43,43,43,43,43,43,43,43,43,43
Reserves,-15,-1,-3,-2,-8,-1,-6,-12,-23,-9,62,45,36
Borrowings,7,0,-1,-9,9,0,0,32,3,27,78,70,74
Other Liabilities,45,48,52,48,24,17,16,62,103,43,29,28,35
Total Liabilities,81,90,91,80,68,59,53,125,127,104,213,186,188
Fixed Assets,9,8,7,6,6,5,5,5,4,4,116,115,115
CWIP,1,0,0,0,0,0,0,0,0,32,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,71,82,84,74,63,53,48,120,122,68,97,70,73
Total Assets,81,90,91,80,68,59,53,125,127,104,213,186,188
