,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.02,0.00,0.00,0.00,0.00,0.00
Expenses,0.04,0.04,0.02,0.01,0.01,0.05,0.0,0.01,0.09,0.08,0.15,0.12,1.21
Operating Profit,-0.04,-0.04,-0.02,-0.01,-0.01,-0.05,0.0,0.01,-0.09,-0.08,-0.15,-0.12,-1.21
OPM %,,,,,,,,50.0,,,,,
Other Income,0.00,0.00,0.00,0.00,0.00,0.28,0.0,0.59,0.00,0.01,0.00,0.00,0.00
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Profit before tax,-0.04,-0.04,-0.02,-0.01,-0.01,0.23,0.0,0.6,-0.09,-0.07,-0.15,-0.12,-1.21
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,,0.0,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.04,-0.04,-0.02,-0.01,-0.01,0.23,0.0,0.6,-0.09,-0.07,-0.15,-0.12,-1.21
EPS in Rs,-0.09,-0.09,-0.04,-0.02,-0.02,0.50,0.0,1.31,-0.20,-0.15,-0.33,-0.26,-2.64
