,2020-03-01,2020-06-01,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01
Sales,40.5,1.5,6.46,14.79,14.57,3.56,6.0,37.13,27.66,48.63,40.72,32.22,25.24
Expenses,2.85,0.73,1.69,4.16,6.01,1.53,2.0,6.45,5.51,7.71,6.94,6.56,22.81
Operating Profit,37.65,0.77,4.77,10.63,8.56,2.03,4.0,30.68,22.15,40.92,33.78,25.66,2.43
OPM %,92.96,51.33,73.84,71.87,58.75,57.02,66.67,82.63,80.08,84.15,82.96,79.64,9.63
Other Income,10.59,10.47,9.8,31.65,10.38,10.2,0.28,0.03,0.03,0.0,0.0,0.03,7.57
Interest,6.04,9.54,9.93,32.54,-4.14,6.19,3.62,3.42,2.47,2.05,2.9,1.5,1.09
Depreciation,0.01,0.05,0.05,0.15,0.1,0.09,0.13,0.01,0.08,0.08,0.08,0.09,4.03
Profit before tax,42.19,1.65,4.59,9.59,22.98,5.95,0.53,27.28,19.63,38.79,30.8,24.1,4.88
Tax %,120.6,22.42,28.76,57.87,29.33,46.89,50.94,24.56,50.43,24.83,26.72,27.68,300.0
Net Profit,-8.7,1.28,3.27,4.04,16.24,3.16,0.26,20.58,9.72,29.15,22.57,17.42,-9.77
EPS in Rs,-3.9,0.57,1.47,1.81,7.28,1.42,0.12,9.23,4.36,13.07,10.12,7.81,-4.38
