,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.26,0.32,0.11,0.36,0.57,0.13,0.46,0.72,1.07,1.87,0.38,0.88,0.73
Expenses,0.27,0.32,0.12,0.39,0.52,0.14,0.46,0.71,1.05,1.72,0.39,0.84,0.68
Operating Profit,-0.01,0.00,-0.01,-0.03,0.05,-0.01,0.00,0.01,0.02,0.15,-0.01,0.04,0.05
OPM %,-3.85,0.00,-9.09,-8.33,8.77,-7.69,0.00,1.39,1.87,8.02,-2.63,4.55,6.85
Other Income,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.0,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,-0.01,0.00,-0.01,-0.03,0.05,-0.01,0.00,0.01,0.02,0.15,-0.01,0.04,0.05
Tax %,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,-0.01,0.00,-0.01,-0.03,0.05,-0.01,0.00,0.01,0.02,0.15,-0.01,0.04,0.05
EPS in Rs,-0.0,0.00,-0.0,-0.01,0.01,-0.0,0.00,0.0,0.0,0.03,-0.0,0.01,0.01
