,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,101.0,342.0,585.0,520.0,739.0,941.0,1014
Expenses,90.0,289.0,499.0,445.0,609.0,820.0,877
Operating Profit,11.0,53.0,85.0,75.0,130.0,122.0,138
OPM %,11.0,16.0,15.0,14.0,18.0,13.0,14
Other Income,-4.0,12.0,2.0,16.0,10.0,33.0,32
Interest,7.0,9.0,5.0,2.0,1.0,2.0,5
Depreciation,8.0,24.0,33.0,30.0,27.0,31.0,45
Profit before tax,-8.0,32.0,50.0,60.0,112.0,122.0,120
Tax %,12.0,26.0,18.0,32.0,31.0,23.0,
Net Profit,-7.0,24.0,41.0,41.0,77.0,94.0,91
EPS in Rs,-2.63,0.92,3.61,3.57,6.78,8.23,7.97
