,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,TTM
Sales,156.0,325.0,415.0,557.0,633.0,762.0,891.0,1311
Expenses,146.0,296.0,368.0,495.0,541.0,653.0,748.0,1199
Operating Profit,9.0,30.0,46.0,62.0,92.0,109.0,143.0,112
OPM %,6.0,9.0,11.0,11.0,14.0,14.0,16.0,9
Other Income,36.0,56.0,14.0,135.0,28.0,34.0,19.0,60
Interest,0.0,2.0,4.0,8.0,7.0,6.0,8.0,26
Depreciation,4.0,18.0,21.0,32.0,37.0,45.0,54.0,96
Profit before tax,41.0,65.0,36.0,156.0,76.0,92.0,101.0,51
Tax %,11.0,23.0,18.0,12.0,35.0,35.0,30.0,
Net Profit,39.0,51.0,29.0,137.0,49.0,60.0,71.0,35
EPS in Rs,3.27,4.12,2.68,13.93,4.89,5.9,5.34,2.45
